id,age,gender,race,Condition,Choice,exclude?,exclude_reason
SOCCR_01,5.4,female,Caucasian,0,0,0,
SOCCR_02,4.69,male ,Hispanic,0,0,0,
SOCCR_03,4.53,male ,Caucasian/Middle Eastern,1,1,0,
SOCCR_04,5.13,male ,Caucasian/Indian/Urdu,0,0,0,
SOCCR_05,4.78,male ,Indian,1,1,0,
SOCCR_06,5.11,female,Middle Eastern,1,NA,1,did not complete
SOCCR_07,5.09,male ,Caucasian,1,0,0,
SOCCR_08,5.23,male ,Asian/Caucasian,1,0,0,
SOCCR_09,5.36,male ,Asian/Caucasian,0,NA,1,did not complete
SOCCR_10,4.54,female,Asian/Caucasian,0,0,0,
SOCCR_11,4.37,female,Middle Eastern,0,0,0,
SOCCR_12,4.67,female,Asian/Indian,0,0,0,
SOCCR_13,4.42,female,Asian/Korean,0,0,1,tech error
SOCCR_14,4.68,female ,Asian/Indian,1,1,0,
SOCCR_15,5.18,female,Asian,1,1,0,
SOCCR_16,5.6,male ,Indian/Urdu,0,0,0,
SOCCR_17,5.24,male ,Asian,0,0,0,
SOCCR_18,4.25,female,Asian/Filipino/Hispanic,1,1,0,
SOCCR_19,5.15,female,Caucasian,1,0,0,
SOCCR_20,4.73,female,Indian,1,0,0,
SOCCR_21,4,male ,Asian,0,0,0,
SOCCR_22,4.75,male ,Caucasian,0,0,0,
SOCCR_23,5.57,female,Asian,1,NA,1,did not complete
SOCCR_24,5.02,male ,Caucasian,1,1,0,
SOCCR_25,4.27,female,Asian/African American/Caucasian,0,1,0,
SOCCR_26,5.7,female,Caucasian,1,0,0,
SOCCR_27,4.7,female,Caucasian,1,1,0,
SOCCR_28,5.39,male ,Hispanic/Indian,1,0,0,
SOCCR_29,5.62,male ,Caucasian/Indian,1,0,0,
SOCCR_30,4.23,male ,Caucasian,0,0,0,
SOCCR_31,5.53,female,Asian,1,1,0,
SOCCR_32,5.12,female,Caucasian,1,1,0,
SOCCR_33,3.98,male ,Caucasian/Hispanic,1,0,1,experimenter error
SOCCR_34,4.98,male ,Caucasian/Jewish,0,0,0,
SOCCR_35,4.72,male ,Asian/Hispanic/Middle Eastern,0,0,0,
SOCCR_36,4.74,male ,Caucasian/Middle Eastern/Jewish,0,0,0,
SOCCR_37,5.56,female,Asian,0,0,0,
SOCCR_38,4.73,female,Asian/Caucasian,0,0,0,
SOCCR_39,4.41,male ,Caucasian/Indian,1,0,0,
SOCCR_40,4.51,female,Caucasian,0,0,0,
SOCCR_41,4.3,male ,Caucasian,1,1,0,
SOCCR_42,5.17,female,Asian/Caucasian/Middle Eastern,0,0,0,
SOCCR_43,5.23,female,Caucasian,0,1,0,
SOCCR_44,4.92,female,none given,1,0,0,
SOCCR_45,4.85,female,Hispanic/Caucasian/Middle Eastern,1,0,0,
SOCCR_46,4.72,female,Caucasian,1,1,0,
SOCCR_47,4.62,female,Asian/Caucasian/Middle Eastern,0,0,0,
SOCCR_48,4.88,male ,Middle Eastern,1,1,0,
SOCCR_49,4.91,male ,Indian,0,1,0,
