# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=1238074989
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_age_nointeraction_soccr_study1_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,p_gamma.1,p_z_beta.1,p_z_beta.2,g_gamma.1,g_z_beta.1,g_z_beta.2
-27.5978,0.997961,0.526251,3,7,0,28.5652,-0.467529,-0.369313,-0.0706467,1.18231,6.33147,-3.95938,2.7298,0.349607,6.31158
-27.9445,0.994996,0.526251,3,7,0,28.101,-1.41568,-0.621519,-0.397624,0.212851,-1.50256,2.81562,-2.52045,-0.927905,-4.26415
-28.8632,0.97322,0.526251,2,3,0,28.9265,-1.53957,-0.652238,-0.498625,0.772281,-1.01145,0.292523,-2.82038,-0.0300811,-6.99918
-29.0659,0.996611,0.526251,3,7,0,29.8291,-0.296579,-0.289405,0.0175609,2.1496,3.84998,-3.43586,4.09516,3.50893,10.6077
-27.6607,1,0.526251,2,3,0,29.2696,-0.703532,-0.281041,-0.0510984,-3.23342,-2.8113,-6.76611,0.177336,6.13276,6.44458
-26.8706,0.91244,0.526251,3,7,0,29.0339,-0.665146,-0.48299,-0.258774,2.89037,-1.06798,10.0589,1.67722,-1.85781,-1.64367
-28.6308,0.867665,0.526251,2,7,0,29.2465,-1.44774,-0.667306,-0.093124,2.52623,-1.97142,2.06075,-2.31897,-5.36212,7.39768
-27.8233,0.999743,0.526251,3,7,0,28.6875,-0.798556,-0.45154,-0.441062,-2.79364,-3.8626,1.40306,0.895603,3.40439,-10.1022
-26.8522,0.994294,0.526251,2,7,0,28.2706,-0.937258,-0.37983,-0.182217,0.477688,0.0159581,-9.7155,-1.19776,3.66542,0.894862
-27.562,0.925473,0.526251,2,7,0,28.3839,-1.18398,-0.417196,-0.0903273,-2.27083,-2.99378,4.37639,-2.92716,2.7519,5.72655
-27.8131,0.985703,0.526251,2,7,0,28.3081,-1.23595,-0.576897,-0.0865367,0.90094,-3.70611,-3.8286,-1.83222,-3.91281,7.19389
-26.9805,0.99482,0.526251,3,7,0,28.0911,-0.731157,-0.388229,-0.291604,-1.71078,-4.57287,6.13188,0.755738,3.68459,-4.68551
-27.0885,0.987068,0.526251,2,3,0,27.3132,-0.694348,-0.444502,-0.332037,-0.480931,-3.05381,2.0289,1.3843,1.41626,-5.73106
-27.6772,0.867968,0.526251,3,7,0,28.992,-1.26521,-0.591314,-0.124864,2.14993,-6.99801,3.60204,-1.92698,-3.90221,5.72047
-29.144,0.96759,0.526251,3,7,0,29.8149,-1.79308,-0.651676,-0.254873,-1.62403,1.34656,5.44043,-4.74753,0.102572,1.29281
-28.5349,0.96185,0.526251,2,7,0,30.2237,-1.5366,-0.487299,-0.129032,-4.35503,-3.31826,-1.91803,-4.81051,3.15423,4.6597
-29.3808,0.975882,0.526251,3,7,0,30.7032,-1.64725,-0.766832,-0.142714,-2.80048,3.75521,5.78881,-2.53052,-6.58209,6.04426
-27.5038,0.993862,0.526251,2,3,0,29.6891,-1.36998,-0.520708,-0.238914,3.46485,7.93558,-4.30398,-3.2925,1.10038,0.502932
-27.9306,0.949216,0.526251,2,7,0,28.5881,-0.954088,-0.61444,-0.076659,-2.14829,-3.55066,2.65472,0.487813,-8.21688,8.25007
-27.9809,0.988435,0.526251,3,7,0,28.4271,-1.18609,-0.354613,-0.34862,-1.05377,-2.04805,4.45886,-2.80023,8.22816,-6.17261
-27.4933,0.977673,0.526251,2,7,0,30.1537,-0.987011,-0.288929,-0.169098,3.02172,1.77985,11.336,-2.15813,8.39901,0.599673
-28.6108,0.966689,0.526251,3,7,0,28.7423,-0.918855,-0.774555,-0.402106,-0.941335,0.45612,-2.01017,1.61196,-10.0788,-2.42358
-28.8206,0.981843,0.526251,3,7,0,29.7353,-1.0518,-0.20154,-0.0740705,-2.89214,-0.67558,-4.20821,-3.27947,12.3122,4.6247
-27.5566,1,0.526251,3,7,0,29.1011,-0.417561,-0.448727,-0.132037,1.62015,-7.51404,-5.56147,3.47965,-3.27834,4.04825
-27.3153,0.978042,0.526251,3,7,0,28.8116,-1.01336,-0.531681,-0.40201,-2.0217,6.68514,5.70024,-0.420549,0.151746,-6.55161
-27.1197,1,0.526251,2,3,0,27.3452,-1.02282,-0.557709,-0.362755,-0.00648024,-1.17896,3.70566,-0.418529,-1.52805,-4.53155
-27.8372,0.978489,0.526251,3,7,0,27.8797,-0.88004,-0.686014,-0.38191,0.336149,-0.59525,1.37866,1.3337,-7.33807,-3.26497
-28.0384,0.990539,0.526251,3,7,0,28.8699,-0.676621,-0.262646,-0.0166047,2.29743,-5.08544,-1.16479,0.348094,6.72259,8.20582
-26.9907,0.970711,0.526251,2,7,0,29.4781,-1.04196,-0.578159,-0.218487,1.99996,8.50621,8.40067,-0.530422,-4.33708,1.79116
-28.1039,0.943699,0.526251,2,3,0,28.1567,-0.942706,-0.478227,-0.483178,-0.570246,-0.499551,-1.26728,0.0801569,3.4606,-10.8383
-28.6807,0.937206,0.526251,2,7,0,30.4765,-1.31365,-0.282082,-0.202919,-0.326629,0.706431,10.951,-4.68537,10.806,-0.180504
-27.282,1,0.526251,2,3,0,28.8184,-1.22733,-0.431607,-0.196792,-2.64536,7.9802,0.243344,-3.06377,3.40366,1.20164
-27.4911,0.994214,0.526251,3,7,0,27.7277,-0.672284,-0.609925,-0.308119,1.33351,1.07163,2.34315,2.29291,-6.71594,-1.63547
-27.0854,0.996555,0.526251,3,7,0,28.0816,-1.06996,-0.413392,-0.296371,-1.226,0.39599,7.69149,-1.79546,4.27195,-3.65989
-27.3001,0.997493,0.526251,3,7,0,27.5656,-0.681701,-0.458468,-0.0706763,-1.55761,0.637358,2.20532,1.36174,-3.19503,7.22467
-27.4153,0.94659,0.526251,2,7,0,28.7162,-1.20192,-0.650862,-0.310242,2.26096,-1.8263,7.58908,-1.01431,-4.84733,-0.926315
-28.4719,0.977237,0.526251,2,7,0,28.5843,-1.46407,-0.698275,-0.454952,0.606842,-0.325127,2.35586,-2.14131,-2.7492,-5.20624
-27.1318,0.991563,0.526251,2,7,0,29.1664,-0.578338,-0.510619,-0.262449,2.68504,7.23968,6.66411,2.4899,-3.52355,-1.40947
-26.9559,1,0.526251,3,7,0,27.2128,-1.0251,-0.447231,-0.133145,0.402114,-3.84209,-0.954431,-1.46131,0.459724,4.04153
-27.2853,0.956482,0.526251,3,7,0,28.2168,-0.47509,-0.399186,-0.258894,0.180207,-4.53905,-6.39423,2.9001,1.58532,-3.34736
-27.2853,0.43692,0.526251,1,3,0,34.8119,-0.47509,-0.399186,-0.258894,-2.5306,-17.8029,11.8262,2.9001,1.58532,-3.34736
-27.3447,0.982989,0.526251,2,7,0,28.0161,-1.26519,-0.597364,-0.215067,2.88081,1.42195,-0.0833403,-1.90808,-3.26904,2.15045
-27.3582,0.996674,0.526251,3,7,0,27.5797,-1.3212,-0.520208,-0.228781,-1.1786,-2.4617,1.14974,-2.97187,0.606399,0.845447
-28.4547,0.900272,0.526251,2,3,0,28.9511,-1.01891,-0.738036,-0.17202,0.979271,3.87629,-3.55445,0.992433,-11.5695,5.68534
-26.8235,0.945477,0.526251,3,7,0,29.6474,-0.886232,-0.491626,-0.152185,0.441959,-12.4052,5.20276,-0.0496876,-2.47271,3.64342
-27.2034,0.967962,0.526251,3,7,0,27.7332,-0.625191,-0.300866,-0.168227,0.479992,-1.13765,5.75694,1.07241,6.05263,0.145306
-26.954,0.990586,0.526251,3,7,0,27.6589,-0.99861,-0.581597,-0.249784,-0.107411,2.787,6.26529,-0.195311,-4.40084,0.508483
-27.8229,0.872717,0.526251,1,3,0,29.566,-1.42723,-0.577879,-0.175963,4.44493,-0.565755,-3.80695,-3.18571,-1.29178,3.49421
-27.3462,0.959608,0.526251,3,7,0,28.7116,-0.687493,-0.579898,-0.185977,2.31189,6.48861,-4.45801,2.0241,-7.38722,3.32344
-27.1727,1,0.526251,3,7,0,27.6442,-1.04204,-0.498034,-0.371876,1.71372,-3.6759,1.50945,-0.889473,1.31501,-5.77047
-28.6155,0.901038,0.526251,3,7,0,29.1098,-0.419695,-0.618953,-0.38451,-2.1915,1.13718,-2.64521,4.13735,-6.51512,-4.98082
-30.1691,0.789719,0.526251,2,5,0,33.4861,-1.58771,-0.288629,-0.186366,5.11017,-6.15509,-6.92408,-6.60674,11.9558,1.34109
-29.3675,0.794508,0.526251,2,7,0,36.1794,-1.48005,-0.597004,0.00974897,2.15772,-17.983,9.69473,-3.15719,-2.84482,10.8745
-28.7276,0.939083,0.526251,3,7,0,31.2975,-1.56165,-0.481362,-0.387298,1.99485,1.36026,-12.2702,-4.48741,5.46743,-4.86728
-26.9311,1,0.526251,3,7,0,29.2456,-0.702503,-0.528364,-0.234694,0.447618,11.7277,3.15446,1.61112,-4.20615,0.278509
-28.3287,0.940214,0.526251,3,7,0,29.1537,-1.56529,-0.581723,-0.371537,-1.7534,-3.33047,-5.28522,-3.82262,1.49086,-3.44844
-27.464,0.963279,0.526251,3,7,0,29.797,-0.483006,-0.308796,-0.124433,1.3949,8.9719,-7.89033,2.37289,4.47764,2.5471
-28.6313,0.91312,0.526251,2,3,0,28.9437,-0.416052,-0.184904,-0.120253,-0.118775,-4.46095,0.0310728,2.68499,11.6468,1.13524
-28.3091,0.967251,0.526251,2,3,0,29.3547,-0.427412,-0.211628,-0.122005,1.62037,7.32194,0.559864,2.62901,10.0466,1.37521
-26.8386,0.9959,0.526251,3,7,0,29.0258,-0.842862,-0.53106,-0.195394,4.19348,2.51667,7.02633,0.561587,-4.0453,2.16657
-28.9783,0.823877,0.526251,2,3,0,29.1331,-0.883256,-0.631353,0.00606549,-0.940173,2.1892,0.888995,1.21199,-10.1323,11.8224
-29.8839,0.87953,0.526251,2,3,0,31.2812,-0.688448,-0.711858,-0.0380749,0.387375,-5.4384,7.88736,2.9876,-14.396,10.8846
-28.3204,1,0.526251,3,7,0,30.8238,-1.0584,-0.325469,-0.397147,4.22327,-8.44712,-0.917939,-1.73706,9.60395,-9.12697
-27.9133,0.995807,0.526251,3,7,0,29.1882,-1.1033,-0.690285,-0.173134,-0.300676,-8.95756,0.933379,0.0448364,-8.9872,4.96504
-26.9908,0.983216,0.526251,2,7,0,28.857,-0.648401,-0.467793,-0.140667,2.06125,9.79885,-1.57592,1.6703,-3.01923,3.88653
-26.9491,1,0.526251,3,7,0,27.0892,-0.839511,-0.566009,-0.283813,0.589885,-2.64239,0.524314,0.845272,-4.29319,-1.26232
-27.0018,0.989709,0.526251,3,7,0,27.2298,-0.870817,-0.33587,-0.215167,-1.63371,0.837442,0.871381,-0.837369,5.92135,-1.38169
-28.9176,0.80087,0.526251,2,3,0,29.8008,-0.908783,-0.229542,-0.365794,0.205315,-2.92752,7.08997,-0.998174,13.4201,-9.70563
-26.7283,0.939327,0.526251,2,3,0,30.098,-0.865831,-0.398086,-0.212655,0.650286,-10.9505,9.92378,-0.459338,2.70852,-0.452968
-26.7027,0.991098,0.526251,3,7,0,27.0574,-0.970927,-0.462675,-0.22694,-1.06844,-4.03876,-0.882635,-0.862529,0.438806,-0.121558
