# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=1235143119
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_full_soccr_study1_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,p_gamma.1,p_z_beta.1,g_gamma.1,g_z_beta.1
-27.2026,0.962863,0.553188,2,7,0,28.0026,-1.12715,-0.490432,2.95201,3.37501,-1.77919,-1.80618
-27.1523,0.988485,0.553188,2,7,0,27.5002,-1.10756,-0.413871,-0.877868,-4.60118,-2.30697,1.56694
-29.0133,0.950655,0.553188,2,7,0,29.0555,-1.42396,-0.733068,-0.241436,1.66174,-1.2889,-8.82397
-28.1266,1,0.553188,2,3,0,29.0237,-1.30145,-0.640086,1.49202,7.30098,-1.51005,-6.48994
-28.0836,1,0.553188,2,3,0,28.1652,-1.31573,-0.629425,0.300589,2.33384,-1.71862,-5.90324
-27.8753,0.98157,0.553188,2,3,0,28.4306,-1.03586,-0.630518,-1.79655,-4.80258,0.173326,-8.73763
-28.1347,0.961403,0.553188,3,7,0,28.7882,-0.243314,-0.388073,2.03602,-5.02755,4.82101,-2.10293
-26.9685,0.959858,0.553188,2,3,0,28.8672,-0.678913,-0.444324,-4.87862,3.20708,1.34655,-3.13739
-27.4193,0.967587,0.553188,2,7,0,27.6198,-0.827845,-0.559877,1.64475,-0.228138,1.02018,-7.50212
-27.0518,0.986621,0.553188,3,7,0,27.7834,-0.651706,-0.305105,-2.03264,5.57056,0.790014,4.06821
-27.1338,0.996008,0.553188,2,3,0,27.1627,-0.696649,-0.283044,0.624767,0.0771211,0.269676,5.52365
-26.8767,0.969116,0.553188,3,7,0,27.768,-0.939609,-0.426747,3.38541,-1.81131,-0.882484,-0.417983
-26.8882,0.96923,0.553188,2,7,0,27.7734,-0.672083,-0.362845,-3.02175,-3.91835,0.915371,1.02604
-27.3342,0.87116,0.553188,2,5,0,28.5898,-1.06784,-0.331181,4.11483,-0.628216,-2.63861,5.2566
-27.045,0.99677,0.553188,2,7,0,27.6733,-0.580436,-0.334987,2.78787,-1.98943,1.5842,2.05935
-27.0138,0.99904,0.553188,3,7,0,27.1137,-0.591658,-0.3423,-1.01346,-1.32124,1.51865,1.71109
-27.2873,0.981162,0.553188,3,7,0,27.6374,-0.492889,-0.306989,1.94876,2.25216,2.26791,3.25169
