# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=133243476
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_interaction_soccr_study1_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,z_beta.3,p_gamma.1,p_z_beta.1,p_z_beta.2,p_z_beta.3,g_gamma.1,g_z_beta.1,g_z_beta.2,g_z_beta.3
-30.281,0.996942,0.152035,4,15,0,30.6179,-1.44209,0.685434,-0.299095,-1.2717,-1.57348,-0.232144,2.66289,0.0609772,-2.60219,2.77687,-3.99334,-0.022174
-29.5264,0.960276,0.152035,5,31,0,31.321,-0.334223,-0.940788,-0.163478,0.698933,1.49897,-1.97106,-6.48871,1.0738,3.53368,7.20535,2.64657,8.6185
-28.5078,1,0.152035,4,15,0,30.0761,-0.573498,-1.00113,-0.119832,0.605776,2.97243,0.583058,2.97159,1.72758,1.84451,-1.05068,6.18116,0.551127
-28.1677,0.972455,0.152035,5,31,0,30.1102,-0.777492,-0.139661,-0.0651898,-0.314043,3.14687,-0.150279,8.15135,-0.594371,0.601311,-1.81789,6.4879,-2.251
-28.9612,0.974635,0.152035,5,31,0,30.6787,-1.17799,0.350387,-0.232225,-0.970752,-2.27218,-1.87273,5.30303,0.92917,-0.781414,-2.55621,-0.420079,-4.4976
-28.3698,0.985239,0.152035,5,31,0,29.839,-0.558195,0.00213889,-0.0847498,-0.406744,-0.191888,2.44141,4.15653,-0.594737,2.17946,-0.152285,4.47161,-1.03982
-28.7268,0.955888,0.152035,4,31,0,30.0406,-0.694396,-0.388314,-0.411678,-0.0301643,-2.25463,-1.76935,-3.8738,0.447763,1.51222,4.17759,-9.87211,3.17283
-30.0349,0.998689,0.152035,4,31,0,32.1785,-0.350259,0.420617,0.00727639,-0.784477,-3.06236,1.04138,8.58607,0.17261,3.87985,0.832084,7.2865,-0.837597
-29.5015,0.998234,0.152035,4,15,0,31.2569,-1.02138,0.155892,0.0555573,-0.566047,-3.26018,-0.979504,-6.06055,0.63738,-1.62183,1.43274,11.1563,0.657278
-31.6872,0.899316,0.152035,5,31,0,32.9021,-0.716964,1.10844,-0.256731,-1.42291,0.514061,1.61388,6.81166,-0.144491,1.3158,11.0575,-9.36535,6.73522
-29.7948,0.971236,0.152035,4,15,0,34.395,-1.37558,0.583457,-0.269935,-1.19912,2.69827,0.80019,-6.86893,-3.99478,-2.02076,0.417042,-2.35681,-2.08588
-31.0572,0.962785,0.152035,5,31,0,32.1032,-0.73092,1.14708,-0.0208133,-1.45573,2.21902,-0.0978199,3.23605,1.51519,0.460746,7.59714,2.90184,4.04168
-31.4218,0.907931,0.152035,3,7,0,32.0115,-0.67609,1.0669,-0.0101115,-1.28275,0.240166,0.473093,1.65079,-1.5991,0.445209,11.9949,2.6537,8.67266
-29.863,0.986957,0.152035,5,31,0,32.6257,-1.4256,-0.192226,-0.41175,-0.216563,-0.488191,-3.33859,-0.902758,1.74608,-3.80306,8.38481,-7.62012,7.34032
-31.264,0.961257,0.152035,5,31,0,33.4741,-1.17815,-1.17349,-0.665686,0.68094,1.81244,-3.01917,3.39381,0.125795,-1.17118,4.37304,-13.8468,4.87753
-29.8033,1,0.152035,3,7,0,31.5801,-1.04981,-1.13931,-0.543294,0.43684,-1.20564,-1.12866,-9.67264,0.267673,0.27629,-5.32805,-7.65096,-4.53515
-30.0725,0.99014,0.152035,5,31,0,31.3891,-1.07791,-1.71051,-0.212093,1.34854,1.60153,-0.778267,7.80496,-0.58667,-2.57108,3.31233,3.34174,6.43245
-29.2672,0.995265,0.152035,4,31,0,31.3125,-1.07336,-1.07571,-0.510004,0.438968,-1.06228,-1.24704,3.74198,2.70965,-0.265433,-3.29696,-7.53939,-2.5737
