# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=1099984735
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_null_soccr_study1_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,p_gamma.1,g_gamma.1
-30.3263,0.972621,0.605795,2,5,0,31.4316,-0.862492,4.68888,-2.07797
-30.2775,1,0.605795,1,1,0,30.3245,-0.837584,-0.967498,-1.84408
-31.2174,0.897786,0.605795,1,3,0,31.8325,-1.13298,-3.49784,-4.46233
-31.4685,0.997319,0.605795,3,7,0,31.4868,-1.18661,-0.60363,-4.89975
-31.9928,0.962511,0.605795,1,1,0,31.9932,-1.28569,-0.0926549,-5.67603
-31.4757,1,0.605795,1,1,0,31.9558,-1.18807,3.0903,-4.91149
-31.4015,1,0.605795,1,1,0,31.547,-1.17277,1.70138,-4.78807
-30.1289,1,0.605795,3,7,0,31.2925,-0.575281,-4.81102,0.748795
-30.1289,0.98949,0.605795,3,7,0,30.3738,-0.722849,-2.20692,-0.737956
-30.258,0.990909,0.605795,3,7,0,30.3667,-0.473997,1.47005,1.80567
-30.1713,0.999807,0.605795,2,5,0,30.272,-0.767214,-1.41577,-1.17115
-30.1134,0.98451,0.605795,1,3,0,30.4509,-0.6003,-2.5912,0.492052
-30.7005,0.910495,0.605795,1,3,0,31.387,-0.309244,-3.69522,3.57569
-30.6635,1,0.605795,1,1,0,30.7385,-0.319766,1.22109,3.46108
-30.1031,0.950373,0.605795,1,3,0,31.4419,-0.630738,5.16043,0.182183
-30.1207,0.997682,0.605795,1,3,0,30.1345,-0.587205,-0.525013,0.626214
-30.102,0.999553,0.605795,3,7,0,30.1379,-0.659229,-0.844489,-0.105313
-30.144,0.997986,0.605795,3,7,0,30.1502,-0.741123,0.349669,-0.917199
-30.342,0.982924,0.605795,2,7,0,30.4736,-0.432508,1.61737,2.24601
-30.1195,1,0.605795,2,7,0,30.3211,-0.58916,-2.00243,0.60615
-30.8303,0.969843,0.605795,3,7,0,30.8346,-1.03769,-0.290988,-3.65581
-30.7876,1,0.605795,1,1,0,30.8688,-1.02583,1.27088,-3.55281
-31.1344,0.922903,0.605795,2,5,0,32.485,-0.204663,-5.18308,4.72379
-30.2369,0.99095,0.605795,3,7,0,31.5809,-0.486129,5.17049,1.67768
-30.1333,0.964021,0.605795,1,3,0,30.8365,-0.728602,-3.74005,-0.794506
-30.2274,0.988657,0.605795,2,3,0,30.2967,-0.808231,-1.17399,-1.56554
-30.1148,0.976142,0.605795,1,3,0,30.6634,-0.5974,-3.3032,0.521722
-31.1094,0.930183,0.605795,3,7,0,31.7359,-1.1082,-3.53009,-4.2562
-30.9732,0.992212,0.605795,2,5,0,31.524,-0.240275,3.30993,4.33117
-31.1507,0.973424,0.605795,2,3,0,31.5598,-0.201223,-2.85268,4.76179
-31.5238,0.962589,0.605795,1,1,0,31.5363,-0.128938,-0.498317,5.56302
-30.358,0.960076,0.605795,2,3,0,32.3032,-0.425514,6.22024,2.32063
-30.2078,0.916968,0.605795,1,3,0,31.803,-0.795206,5.63281,-1.44095
-30.6596,0.953093,0.605795,1,3,0,30.9008,-0.988048,2.19027,-3.22098
-30.6437,0.993625,0.605795,2,3,0,30.8778,-0.983073,-2.15802,-3.17686
-30.1783,0.899655,0.605795,2,5,0,32.7283,-0.526031,-7.12185,1.25933
-30.1498,0.968074,0.605795,2,5,0,30.7089,-0.747189,-3.33501,-0.976449
-30.1056,0.991037,0.605795,1,3,0,30.3062,-0.62016,-1.99774,0.289557
-30.1018,0.999841,0.605795,1,3,0,30.1084,-0.640738,-0.362357,0.0809934
-30.1107,0.997691,0.605795,1,3,0,30.1358,-0.691729,0.706835,-0.430136
-30.1214,0.992399,0.605795,1,3,0,30.2408,-0.586097,1.54104,0.637583
-30.1294,0.998663,0.605795,3,7,0,30.166,-0.574543,0.85328,0.756397
-30.1032,0.998796,0.605795,2,5,0,30.1508,-0.630444,-0.97381,0.185166
-30.6265,0.911094,0.605795,1,3,0,31.3948,-0.330646,3.90928,3.34276
-30.258,1,0.605795,2,3,0,30.6232,-0.474006,2.69506,1.80558
-30.1712,1,0.605795,3,7,0,30.2565,-0.76716,-1.30276,-1.17062
-30.1598,0.968817,0.605795,2,5,0,30.7303,-0.541746,-3.36875,1.09571
-30.4766,0.967072,0.605795,2,5,0,30.6847,-0.925875,-2.03419,-2.6626
-30.9195,0.97207,0.605795,3,7,0,31.4841,-1.06142,3.35092,-3.86016
-30.7631,0.993724,0.605795,2,3,0,31.1371,-1.01888,2.72748,-3.49225
-30.9581,0.944012,0.605795,2,3,0,31.8273,-1.07131,4.15793,-3.94462
-31.559,0.965601,0.605795,2,3,0,31.7671,-1.20481,2.03447,-5.04547
-30.9,0.927803,0.605795,2,5,0,33.2413,-0.257547,-6.82425,4.14133
-30.1928,0.844042,0.605795,1,3,0,33.6095,-0.784363,-8.24388,-1.33677
-30.1355,1,0.605795,2,3,0,30.1944,-0.731291,-1.08256,-0.820905
-30.1571,0.998388,0.605795,2,3,0,30.1683,-0.754432,0.472116,-1.04703
-30.1433,1,0.605795,1,1,0,30.1562,-0.740287,0.507548,-0.90903
-30.1027,0.997604,0.605795,2,5,0,30.1868,-0.66442,1.2932,-0.157421
-30.1153,0.997232,0.605795,3,7,0,30.1652,-0.701227,-0.996495,-0.52443
-30.3535,0.971725,0.605795,3,7,0,30.7897,-0.427479,2.94572,2.29966
-30.1937,0.922287,0.605795,1,3,0,31.694,-0.785012,5.46286,-1.34302
-30.1665,1,0.605795,1,1,0,30.1913,-0.763074,-0.702751,-1.131
-30.676,0.857697,0.605795,1,3,0,32.6565,-0.316184,-6.27646,3.50008
-30.5818,1,0.605795,3,7,0,30.6845,-0.344332,-1.42964,3.19424
-30.1423,0.909151,0.605795,1,3,0,32.0814,-0.739203,6.21049,-0.898418
-30.1045,0.998422,0.605795,2,5,0,30.1715,-0.673486,-1.15407,-0.24822
-30.1043,1,0.605795,1,1,0,30.1047,-0.672613,-0.0868633,-0.239494
-30.1022,0.999907,0.605795,2,5,0,30.1061,-0.636929,-0.27922,0.119497
-30.107,0.998361,0.605795,1,3,0,30.1274,-0.681907,-0.63774,-0.332328
-31.35,0.787648,0.605795,2,5,0,33.7936,-0.16122,-6.97169,5.20461
-30.832,0.990839,0.605795,2,3,0,31.5852,-0.274346,-3.87066,3.95708
-30.1297,0.996631,0.605795,2,5,0,30.9516,-0.723932,-4.04316,-0.748611
-30.1096,0.992338,0.605795,1,3,0,30.267,-0.608655,-1.76932,0.406724
-30.1017,0.999956,0.605795,2,5,0,30.111,-0.656157,-0.428955,-0.0744321
-30.1017,0.999997,0.605795,2,3,0,30.1018,-0.655501,-0.0523846,-0.0678368
-30.1222,0.995364,0.605795,1,3,0,30.1688,-0.584859,0.962764,0.650298
-30.135,0.983314,0.605795,3,7,0,30.4882,-0.567458,2.65023,0.82944
-30.2274,0.993173,0.605795,3,7,0,30.3145,-0.491887,-1.31667,1.61706
-30.4192,0.987453,0.605795,2,3,0,30.4536,-0.400571,-0.826446,2.58761
-30.3101,0.974693,0.605795,2,3,0,30.8333,-0.447262,-3.22606,2.08896
-30.3222,0.998811,0.605795,1,1,0,30.3378,-0.441539,0.557221,2.14983
-30.6825,0.989168,0.605795,3,7,0,30.7427,-0.314315,-1.09388,3.52043
-30.6407,1,0.605795,1,1,0,30.7162,-0.326434,-1.22534,3.38854
-30.7792,0.986173,0.605795,1,1,0,30.7928,-0.287947,-0.521656,3.80821
-31.2879,0.964586,0.605795,2,5,0,31.574,-1.14854,2.38579,-4.59051
-31.5002,0.984211,0.605795,1,1,0,31.53,-1.19304,0.769196,-4.9514
-31.2125,1,0.605795,1,1,0,31.4909,-1.13187,-2.35313,-4.45318
-31.5427,0.975441,0.605795,1,1,0,31.5498,-1.20156,-0.376232,-5.01957
-30.5796,1,0.605795,2,3,0,31.5149,-0.962278,4.31331,-2.99138
-30.5107,1,0.605795,1,1,0,30.5871,-0.938385,1.23314,-2.77617
-30.752,0.979545,0.605795,3,7,0,31.3386,-1.0157,-3.41556,-3.4644
-30.6612,1,0.605795,1,1,0,30.763,-0.988525,-1.42302,-3.22521
-30.1378,0.916922,0.605795,1,3,0,32.3977,-0.564217,-6.70452,0.862902
-30.1021,0.995121,0.605795,2,5,0,30.2205,-0.659737,-1.53471,-0.110416
-31.2878,0.919277,0.605795,2,5,0,31.4375,-1.14853,1.72539,-4.59044
-30.2788,0.974874,0.605795,2,5,0,31.8858,-0.838303,5.65368,-1.85087
-30.214,0.935122,0.605795,2,5,0,31.5139,-0.500391,-5.08479,1.52768
-30.3186,0.97636,0.605795,2,3,0,30.5591,-0.443233,2.18712,2.13181
-31.5582,0.95369,0.605795,3,7,0,31.573,-0.122799,-0.543238,5.63126
-31.5505,1,0.605795,1,1,0,31.6999,-0.124165,-1.72351,5.61607
-30.7565,0.9954,0.605795,2,3,0,31.6894,-0.293954,4.30782,3.74256
-30.1197,0.997586,0.605795,2,5,0,30.8439,-0.709144,-3.79539,-0.602789
-30.1106,0.992967,0.605795,3,7,0,30.2913,-0.606166,-1.89546,0.43212
-30.1604,0.997023,0.605795,2,5,0,30.1612,-0.757542,0.128376,-1.07728
-30.1876,0.964897,0.605795,1,3,0,30.8088,-0.518817,3.51491,1.33466
-30.1504,0.999517,0.605795,2,3,0,30.2011,-0.550655,-1.00369,1.00324
-30.1243,0.999904,0.605795,2,5,0,30.1556,-0.716352,0.7886,-0.673952
-30.4098,0.961309,0.605795,1,3,0,30.67,-0.899607,-2.27485,-2.42216
-30.4833,0.997937,0.605795,2,3,0,30.4892,-0.928374,0.341102,-2.68533
-30.1304,0.999786,0.605795,2,7,0,30.4509,-0.573328,2.5252,0.768911
-30.86,0.897281,0.605795,1,3,0,31.5866,-0.267337,3.80163,4.03391
-30.7345,1,0.605795,2,3,0,30.8711,-0.299891,1.64842,3.67772
-30.6458,1,0.605795,1,1,0,30.7504,-0.324942,-1.44256,3.40477
-30.685,0.965985,0.605795,3,7,0,31.7475,-0.995845,4.59712,-3.28993
-30.7091,0.998039,0.605795,1,1,0,30.7496,-1.00311,0.896616,-3.35397
-30.8156,0.991448,0.605795,1,1,0,30.8334,-1.03363,-0.595588,-3.62066
-30.1141,0.919339,0.605795,2,5,0,32.5667,-0.598831,6.98461,0.507083
-30.1038,1,0.605795,2,3,0,30.1133,-0.627428,0.434828,0.215741
-30.1721,0.994651,0.605795,2,5,0,30.1912,-0.767956,0.615238,-1.17833
-30.2309,0.993477,0.605795,3,7,0,30.3831,-0.810437,-1.74023,-1.58659
-30.3553,0.978397,0.605795,2,3,0,30.5712,-0.876007,2.07236,-2.2039
-30.3666,0.977354,0.605795,2,5,0,30.8233,-0.421831,3.01387,2.35997
-30.2752,0.998562,0.605795,2,5,0,30.4297,-0.83637,-1.75285,-1.83263
-30.1018,0.984491,0.605795,1,3,0,30.5455,-0.656926,2.97084,-0.0821679
-30.204,0.978719,0.605795,1,3,0,30.4089,-0.507083,-2.01852,1.45748
-30.1073,0.995248,0.605795,1,3,0,30.2835,-0.614776,-1.87231,0.344335
